feature,gain_importance,split_importance,feature_family,gain_rank,split_rank,train_permutation_mean,train_permutation_std,validation_permutation_mean,validation_permutation_std,holdout_permutation_mean,holdout_permutation_std,train_holdout_gap,validation_holdout_gap,drift_flag
s_hc1.2_heating_pump_status__dominant__is__ein,0.0,0,derived_one_hot,109,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
s_hc1.2_heating_pump_status__dominant__is__missing,0.0,0,derived_one_hot,109,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
s_hc1.3_control_unit_mode__dominant__is__missing,0.0,0,derived_one_hot,109,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
s_hc1.3_control_unit_mode__dominant__is__tag,0.0,0,derived_one_hot,109,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
s_hc1.3_heating_pump_status__dominant__is__aus,0.0,0,derived_one_hot,109,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
s_hc1.3_heating_pump_status__dominant__is__ein,0.0,0,derived_one_hot,109,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
s_hc1.3_heating_pump_status__dominant__is__missing,0.0,0,derived_one_hot,109,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
s_hc1_control_unit_mode__dominant__is__missing,0.0,0,derived_one_hot,109,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
s_hc1_control_unit_mode__dominant__is__nacht,0.0,0,derived_one_hot,109,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
s_hc1_control_unit_mode__dominant__is__standby,0.0,0,derived_one_hot,109,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
s_hc1_control_unit_mode__dominant__is__tag,0.0,0,derived_one_hot,109,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
s_hc1_heating_pump_status_setpoint__dominant__is__aus,0.0,0,derived_one_hot,109,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
s_hc1_heating_pump_status_setpoint__dominant__is__missing,0.0,0,derived_one_hot,109,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
season_bucket__is__spring,0.0,0,derived_one_hot,109,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
extreme_change_count,0.0,0,sensor_numeric,109,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
has_buffer_tank,0.0,0,sensor_numeric,109,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
max_timestamp_gap_minutes,0.0,0,sensor_numeric,109,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
missing_count,0.0,0,sensor_numeric,109,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
missing_rate,0.0,0,sensor_numeric,109,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
outdoor_temperature__delta,0.0,0,sensor_numeric,109,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
p_net_meter_energy__missing_count,0.0,0,sensor_numeric,109,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
p_net_meter_energy__missing_rate,0.0,0,sensor_numeric,109,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
p_net_meter_flow__delta,0.0,0,sensor_numeric,109,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
p_net_meter_flow__missing_count,0.0,0,sensor_numeric,109,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
p_net_meter_flow__missing_rate,0.0,0,sensor_numeric,109,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
p_net_meter_heat_power__delta,0.0,0,sensor_numeric,109,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
p_net_meter_heat_power__missing_count,0.0,0,sensor_numeric,109,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
p_net_meter_heat_power__missing_rate,0.0,0,sensor_numeric,109,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
p_net_meter_volume__missing_count,0.0,0,sensor_numeric,109,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
p_net_meter_volume__missing_rate,0.0,0,sensor_numeric,109,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
p_net_return_temperature__delta,0.0,0,sensor_numeric,109,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
p_net_return_temperature__missing_count,0.0,0,sensor_numeric,109,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
p_net_return_temperature__missing_rate,0.0,0,sensor_numeric,109,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
p_net_supply_temperature__delta,0.0,0,sensor_numeric,109,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
p_net_supply_temperature__missing_count,0.0,0,sensor_numeric,109,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
