policy,split,metric_scope,row_count,precision,recall,false_positive_rate,tp,fp,fn,tn,mean_score,risk_threshold,pre_event_threshold,fault_events,detected_fault_events,fault_event_recall,selected_official_v4,f1
risk_0.850_or_pre_0.970,train,row,900,0.563758389262,0.385321100917,0.0953079178886,84,65,134,617,54.3770917387,0.85,0.97,21,14,0.666666666667,False,0.457765667575
risk_0.850_or_pre_0.970,validation,row,169,0.388888888889,0.269230769231,0.0769230769231,7,11,19,132,61.7793277008,0.85,0.97,3,2,0.666666666667,False,0.318181818182
risk_0.850_or_pre_0.970,holdout,row,183,0.761904761905,0.623376623377,0.141509433962,48,15,29,91,65.7298480402,0.85,0.97,8,7,0.875,False,0.685714285714
risk_0.850_or_pre_0.975,train,row,900,0.575539568345,0.366972477064,0.0865102639296,80,59,138,623,54.3770917387,0.85,0.975,21,14,0.666666666667,False,0.448179271709
risk_0.850_or_pre_0.975,validation,row,169,0.411764705882,0.269230769231,0.0699300699301,7,10,19,133,61.7793277008,0.85,0.975,3,2,0.666666666667,False,0.325581395349
risk_0.850_or_pre_0.975,holdout,row,183,0.774193548387,0.623376623377,0.132075471698,48,14,29,92,65.7298480402,0.85,0.975,8,7,0.875,False,0.690647482014
risk_0.850_or_pre_0.980,train,row,900,0.609375,0.357798165138,0.0733137829912,78,50,140,632,54.3770917387,0.85,0.98,21,14,0.666666666667,False,0.450867052023
risk_0.850_or_pre_0.980,validation,row,169,0.4,0.230769230769,0.0629370629371,6,9,20,134,61.7793277008,0.85,0.98,3,2,0.666666666667,False,0.292682926829
risk_0.850_or_pre_0.980,holdout,row,183,0.786885245902,0.623376623377,0.122641509434,48,13,29,93,65.7298480402,0.85,0.98,8,7,0.875,False,0.695652173913
risk_0.850_or_pre_0.985,train,row,900,0.649572649573,0.348623853211,0.0601173020528,76,41,142,641,54.3770917387,0.85,0.985,21,13,0.619047619048,False,0.453731343284
risk_0.850_or_pre_0.985,validation,row,169,0.428571428571,0.230769230769,0.0559440559441,6,8,20,135,61.7793277008,0.85,0.985,3,2,0.666666666667,False,0.3
risk_0.850_or_pre_0.985,holdout,row,183,0.8,0.623376623377,0.11320754717,48,12,29,94,65.7298480402,0.85,0.985,8,7,0.875,False,0.700729927007
risk_0.850_or_pre_0.990,train,row,900,0.672727272727,0.339449541284,0.0527859237537,74,36,144,646,54.3770917387,0.85,0.99,21,13,0.619047619048,False,0.451219512195
