policy,split,metric_scope,row_count,precision,recall,false_positive_rate,tp,fp,fn,tn,mean_score,pre_event_threshold,leadtime_threshold,fault_events,detected_fault_events,fault_event_recall,selected_official_v3,f1
pre_0.970_or_lead_0.960,holdout,row,183,0.711538461538,0.480519480519,0.141509433962,37,15,40,91,86.3620299107,0.97,0.96,8,6,0.75,False,0.573643410853
pre_0.970_or_lead_0.965,train,row,900,0.278846153846,0.133027522936,0.109970674487,29,75,189,607,83.7615321674,0.97,0.965,21,12,0.571428571429,False,0.180124223602
pre_0.970_or_lead_0.965,validation,row,169,0.4,0.153846153846,0.041958041958,4,6,22,137,83.7702948557,0.97,0.965,3,1,0.333333333333,False,0.222222222222
pre_0.970_or_lead_0.965,holdout,row,183,0.6875,0.428571428571,0.141509433962,33,15,44,91,86.0478222604,0.97,0.965,8,6,0.75,False,0.528
pre_0.970_or_lead_0.970,train,row,900,0.28,0.128440366972,0.105571847507,28,72,190,610,83.3945607533,0.97,0.97,21,12,0.571428571429,False,0.176100628931
pre_0.970_or_lead_0.970,validation,row,169,0.4,0.153846153846,0.041958041958,4,6,22,137,83.3886380509,0.97,0.97,3,1,0.333333333333,False,0.222222222222
pre_0.970_or_lead_0.970,holdout,row,183,0.6875,0.428571428571,0.141509433962,33,15,44,91,85.7343819798,0.97,0.97,8,6,0.75,False,0.528
pre_0.970_or_lead_0.975,train,row,900,0.276595744681,0.119266055046,0.099706744868,26,68,192,614,83.0304080383,0.97,0.975,21,12,0.571428571429,False,0.166666666667
pre_0.970_or_lead_0.975,validation,row,169,0.4,0.153846153846,0.041958041958,4,6,22,137,83.0105744374,0.97,0.975,3,1,0.333333333333,False,0.222222222222
pre_0.970_or_lead_0.975,holdout,row,183,0.666666666667,0.38961038961,0.141509433962,30,15,47,91,85.42290657,0.97,0.975,8,4,0.5,False,0.491803278689
pre_0.970_or_lead_0.980,train,row,900,0.279569892473,0.119266055046,0.0982404692082,26,67,192,615,82.669355593,0.97,0.98,21,12,0.571428571429,False,0.167202572347
