model,split,candidate_id,n_estimators,learning_rate,num_leaves,max_depth,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda,class_weight,roc_auc,average_precision,precision,recall,f1,false_positive_rate,predicted_positive_count,true_positive_count,false_positive_count,positive_count,row_count
risk_lgbm,validation,76,100,0.05,7,3,30,0.9,0.9,0.1,1.0,balanced,0.7528166278166277,0.7301984527270614,0.45774647887323944,0.45454545454545453,0.45614035087719296,0.2673611111111111,142,65,77,143,431
risk_lgbm,holdout,76,100,0.05,7,3,30,0.9,0.9,0.1,1.0,balanced,0.5218430775918279,0.29590217077669645,0.313953488372093,0.313953488372093,0.313953488372093,0.2757009345794392,86,27,59,86,300
risk_lgbm,validation,77,100,0.05,7,3,50,0.8,0.8,0.1,1.0,balanced,0.760440947940948,0.7607037935144122,0.5885714285714285,0.7202797202797203,0.6477987421383647,0.25,175,103,72,143,431
risk_lgbm,holdout,77,100,0.05,7,3,50,0.8,0.8,0.1,1.0,balanced,0.6625190176048684,0.3994071764918973,0.3877551020408163,0.4418604651162791,0.41304347826086957,0.2803738317757009,98,38,60,86,300
risk_lgbm,validation,78,100,0.05,7,3,50,0.8,0.9,0.1,1.0,balanced,0.7556332556332557,0.7382382394235669,0.5303030303030303,0.48951048951048953,0.509090909090909,0.2152777777777778,132,70,62,143,431
risk_lgbm,holdout,78,100,0.05,7,3,50,0.8,0.9,0.1,1.0,balanced,0.616713757878722,0.37210837249081663,0.4235294117647059,0.4186046511627907,0.42105263157894735,0.22897196261682243,85,36,49,86,300
risk_lgbm,validation,79,100,0.05,7,3,50,0.9,0.8,0.1,1.0,balanced,0.760440947940948,0.7607037935144122,0.5885714285714285,0.7202797202797203,0.6477987421383647,0.25,175,103,72,143,431
risk_lgbm,holdout,79,100,0.05,7,3,50,0.9,0.8,0.1,1.0,balanced,0.6625190176048684,0.3994071764918973,0.3877551020408163,0.4418604651162791,0.41304347826086957,0.2803738317757009,98,38,60,86,300
risk_lgbm,validation,80,100,0.05,7,3,50,0.9,0.9,0.1,1.0,balanced,0.7556332556332557,0.7382382394235669,0.5303030303030303,0.48951048951048953,0.509090909090909,0.2152777777777778,132,70,62,143,431
risk_lgbm,holdout,80,100,0.05,7,3,50,0.9,0.9,0.1,1.0,balanced,0.616713757878722,0.37210837249081663,0.4235294117647059,0.4186046511627907,0.42105263157894735,0.22897196261682243,85,36,49,86,300
risk_lgbm,validation,81,100,0.05,7,4,30,0.8,0.8,0.1,1.0,balanced,0.7730429292929293,0.7818911072368285,0.5693430656934306,0.5454545454545454,0.5571428571428572,0.2048611111111111,137,78,59,143,431
risk_lgbm,holdout,81,100,0.05,7,4,30,0.8,0.8,0.1,1.0,balanced,0.6203542708106934,0.361649620653511,0.32558139534883723,0.32558139534883723,0.32558139534883723,0.27102803738317754,86,28,58,86,300
risk_lgbm,validation,82,100,0.05,7,4,30,0.8,0.9,0.1,1.0,balanced,0.7695949883449884,0.7948523438372248,0.6013071895424836,0.6433566433566433,0.6216216216216216,0.21180555555555555,153,92,61,143,431
risk_lgbm,holdout,82,100,0.05,7,4,30,0.8,0.9,0.1,1.0,balanced,0.636003042816779,0.36492775637859176,0.35365853658536583,0.3372093023255814,0.34523809523809523,0.24766355140186916,82,29,53,86,300
