candidate_id,split,n_estimators,learning_rate,num_leaves,max_depth,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda,class_weight,row_count,accuracy,macro_f1,weighted_f1,top2_accuracy,bucket_distance_mae
65,validation,120,0.06,7,4,5,0.7,0.85,0.1,0.5,,143,0.46853146853146854,0.3234608259779885,0.4197120956846357,0.7902097902097902,0.6503496503496503
65,holdout,120,0.06,7,4,5,0.7,0.85,0.1,0.5,,86,0.6162790697674418,0.4096962728753473,0.6050990327346137,0.9651162790697675,0.4186046511627907
66,validation,240,0.06,31,3,20,0.85,1.0,0.5,5.0,,143,0.48951048951048953,0.34699435973321324,0.4397995364990154,0.7902097902097902,0.6223776223776224
66,holdout,240,0.06,31,3,20,0.85,1.0,0.5,5.0,,86,0.5581395348837209,0.36488060570762954,0.5442734081889721,0.9651162790697675,0.47674418604651164
67,validation,240,0.015,15,5,45,1.0,0.7,0.1,1.0,balanced,143,0.43356643356643354,0.323410151394747,0.38798086808356386,0.7902097902097902,0.7062937062937062
67,holdout,240,0.015,15,5,45,1.0,0.7,0.1,1.0,balanced,86,0.6511627906976745,0.4417366946778712,0.6424760601915185,0.9651162790697675,0.38372093023255816
68,validation,320,0.025,63,3,5,0.85,0.85,0.5,2.0,,143,0.4755244755244755,0.3361652294261684,0.42979275595053296,0.7902097902097902,0.6503496503496503
68,holdout,320,0.025,63,3,5,0.85,0.85,0.5,2.0,,86,0.6046511627906976,0.3976897689768977,0.5903177527055031,0.9651162790697675,0.43023255813953487
69,validation,450,0.06,15,3,20,1.0,1.0,0.5,0.5,,143,0.48951048951048953,0.3554057708710396,0.443966692983731,0.7902097902097902,0.6363636363636364
69,holdout,450,0.06,15,3,20,1.0,1.0,0.5,0.5,,86,0.5930232558139535,0.387962150034143,0.5774138881515813,0.9651162790697675,0.4418604651162791
70,validation,240,0.06,7,4,5,0.85,0.85,0.5,2.0,,143,0.4755244755244755,0.34644299471885676,0.4319944733737837,0.7902097902097902,0.6503496503496503
70,holdout,240,0.06,7,4,5,0.85,0.85,0.5,2.0,,86,0.627906976744186,0.41409435061153177,0.6133399249637687,0.9651162790697675,0.4069767441860465
71,validation,180,0.015,63,5,45,1.0,0.85,0.0,2.0,,143,0.46153846153846156,0.32271307452030346,0.4085320302187772,0.7902097902097902,0.6013986013986014
71,holdout,180,0.015,63,5,45,1.0,0.85,0.0,2.0,,86,0.686046511627907,0.4512820512820513,0.667262969588551,0.9651162790697675,0.3488372093023256
