model,split,n_estimators,max_samples,max_features,bootstrap,threshold_quantile,threshold_value,roc_auc,average_precision,precision,recall,f1,false_positive_rate,predicted_positive_count,true_positive_count,false_positive_count,positive_count,row_count
isolation_forest,validation,300,0.75,1.0,False,0.9,0.4784796423489845,0.6767299512397551,0.5148914570456969,0.8181818181818182,0.07563025210084033,0.13846153846153847,0.00823045267489712,11,9,2,119,362
isolation_forest,holdout,300,0.75,1.0,False,0.9,0.4784796423489845,0.7093884135626422,0.6813802533710263,0.9487179487179487,0.2781954887218045,0.43023255813953487,0.007662835249042145,39,37,2,133,394
isolation_forest,validation,300,0.75,1.0,False,0.92,0.4901416606821806,0.6767299512397551,0.5148914570456969,1.0,0.025210084033613446,0.04918032786885246,0.0,3,3,0,119,362
isolation_forest,holdout,300,0.75,1.0,False,0.92,0.4901416606821806,0.7093884135626422,0.6813802533710263,1.0,0.20300751879699247,0.3375,0.0,27,27,0,133,394
isolation_forest,validation,300,0.75,1.0,False,0.95,0.4999458103655976,0.6767299512397551,0.5148914570456969,1.0,0.008403361344537815,0.016666666666666666,0.0,1,1,0,119,362
isolation_forest,holdout,300,0.75,1.0,False,0.95,0.4999458103655976,0.7093884135626422,0.6813802533710263,1.0,0.18796992481203006,0.31645569620253167,0.0,25,25,0,133,394
isolation_forest,validation,300,0.75,1.0,False,0.99,0.5228440214626005,0.6767299512397551,0.5148914570456969,0.0,0.0,0.0,0.0,0,0,0,119,362
isolation_forest,holdout,300,0.75,1.0,False,0.99,0.5228440214626005,0.7093884135626422,0.6813802533710263,1.0,0.15789473684210525,0.2727272727272727,0.0,21,21,0,133,394
isolation_forest,validation,300,0.75,1.0,True,0.9,0.5035610469116367,0.6643496904934812,0.5006842904528781,0.9,0.07563025210084033,0.13953488372093023,0.00411522633744856,10,9,1,119,362
isolation_forest,holdout,300,0.75,1.0,True,0.9,0.5035610469116367,0.7117794486215537,0.6804861123215814,0.9024390243902439,0.2781954887218045,0.42528735632183906,0.01532567049808429,41,37,4,133,394
isolation_forest,validation,300,0.75,1.0,True,0.92,0.5123839801384955,0.6643496904934812,0.5006842904528781,1.0,0.01680672268907563,0.03305785123966942,0.0,2,2,0,119,362
isolation_forest,holdout,300,0.75,1.0,True,0.92,0.5123839801384955,0.7117794486215537,0.6804861123215814,0.9655172413793104,0.21052631578947367,0.345679012345679,0.0038314176245210726,29,28,1,133,394
isolation_forest,validation,300,0.75,1.0,True,0.95,0.5242347559681565,0.6643496904934812,0.5006842904528781,0.0,0.0,0.0,0.0,0,0,0,119,362
isolation_forest,holdout,300,0.75,1.0,True,0.95,0.5242347559681565,0.7117794486215537,0.6804861123215814,1.0,0.18045112781954886,0.3057324840764331,0.0,24,24,0,133,394
isolation_forest,validation,300,0.75,1.0,True,0.99,0.5474590989830522,0.6643496904934812,0.5006842904528781,0.0,0.0,0.0,0.0,0,0,0,119,362
isolation_forest,holdout,300,0.75,1.0,True,0.99,0.5474590989830522,0.7117794486215537,0.6804861123215814,1.0,0.15037593984962405,0.26143790849673204,0.0,20,20,0,133,394
isolation_forest,validation,300,1.0,0.75,False,0.9,0.47444606634256703,0.6311858076563959,0.5241901202690362,0.8181818181818182,0.226890756302521,0.35526315789473684,0.024691358024691357,33,27,6,119,362
isolation_forest,holdout,300,1.0,0.75,False,0.9,0.47444606634256703,0.7218333189295076,0.6852646129221431,0.8571428571428571,0.3157894736842105,0.46153846153846156,0.02681992337164751,49,42,7,133,394
isolation_forest,validation,300,1.0,0.75,False,0.92,0.48114237892791506,0.6311858076563959,0.5241901202690362,0.8823529411764706,0.12605042016806722,0.22058823529411764,0.00823045267489712,17,15,2,119,362
isolation_forest,holdout,300,1.0,0.75,False,0.92,0.48114237892791506,0.7218333189295076,0.6852646129221431,0.8974358974358975,0.2631578947368421,0.4069767441860465,0.01532567049808429,39,35,4,133,394
