candidate_id,split,n_estimators,learning_rate,num_leaves,max_depth,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda,class_weight,roc_auc,average_precision,precision,recall,f1,false_positive_rate,predicted_positive_count,true_positive_count,false_positive_count,positive_count,row_count
73,validation,400,0.08,7,2,40,1.0,0.65,1.0,5.0,balanced,0.7797931235431237,0.7706670588187062,0.6605504587155964,0.5034965034965035,0.5714285714285714,0.1284722222222222,109,72,37,143,431
73,holdout,400,0.08,7,2,40,1.0,0.65,1.0,5.0,balanced,0.586122582047381,0.3738214765313515,0.4153846153846154,0.313953488372093,0.3576158940397351,0.17757009345794392,65,27,38,86,300
74,validation,400,0.06,15,2,120,0.95,0.65,1.0,1.0,balanced,0.7745240870240871,0.7660476448943399,0.6306306306306306,0.48951048951048953,0.5511811023622047,0.1423611111111111,111,70,41,143,431
74,holdout,400,0.06,15,2,120,0.95,0.65,1.0,1.0,balanced,0.5622690719408825,0.373167081628223,0.35714285714285715,0.29069767441860467,0.32051282051282054,0.2102803738317757,70,25,45,86,300
75,validation,120,0.08,63,3,40,0.8,0.65,0.0,1.0,,0.7741113053613053,0.7874049180032515,0.8433734939759037,0.48951048951048953,0.6194690265486725,0.04513888888888889,83,70,13,143,431
75,holdout,120,0.08,63,3,40,0.8,0.65,0.0,1.0,,0.7044664203434036,0.4560726354678231,0.4782608695652174,0.2558139534883721,0.3333333333333333,0.11214953271028037,46,22,24,86,300
76,validation,260,0.015,31,4,120,1.0,0.8,0.1,1.0,,0.7750339937839937,0.8002649523103805,0.9076923076923077,0.4125874125874126,0.5673076923076923,0.020833333333333332,65,59,6,143,431
76,holdout,260,0.015,31,4,120,1.0,0.8,0.1,1.0,,0.5239621821343187,0.34759356837531563,0.625,0.05813953488372093,0.10638297872340426,0.014018691588785047,8,5,3,86,300
77,validation,120,0.015,7,4,60,0.95,0.8,1.0,1.0,balanced,0.8013670357420357,0.7723004586555564,0.4961832061068702,0.45454545454545453,0.4744525547445255,0.22916666666666666,131,65,66,143,431
77,holdout,120,0.015,7,4,60,0.95,0.8,1.0,1.0,balanced,0.663605737883069,0.40361158327889174,0.46153846153846156,0.4883720930232558,0.4745762711864407,0.22897196261682243,91,42,49,86,300
