feature_set,param_set,feature_count,evaluation_split_column,split,threshold_quantile,threshold_value,row_count,normal_count,pre_fault_count,roc_auc,average_precision,precision,recall,f1,false_positive_rate
sensor_numeric_only,default_300_auto,137,split_time_based,holdout,0.99,0.5410153664161008,394,261,133,0.7123844092991098,0.6435393753542842,1.0,0.15037593984962405,0.26143790849673204,0.0
sensor_numeric_only,default_300_auto,137,split_substation_based,train,0.95,0.5083126286848996,2021,1380,641,0.6373069705396912,0.485220830305123,0.582089552238806,0.12168486739469579,0.20129032258064516,0.04057971014492753
sensor_numeric_only,default_300_auto,137,split_substation_based,train,0.975,0.5224768062912106,2021,1380,641,0.6373069705396912,0.485220830305123,0.7222222222222222,0.10140405616224649,0.17783857729138167,0.018115942028985508
sensor_numeric_only,default_300_auto,137,split_substation_based,train,0.99,0.5410153664161008,2021,1380,641,0.6373069705396912,0.485220830305123,0.8409090909090909,0.057722308892355696,0.10802919708029197,0.005072463768115942
sensor_numeric_only,default_300_auto,137,split_substation_based,validation,0.95,0.5083126286848996,249,196,53,0.527820562187139,0.3358038562052928,0.0,0.0,0.0,0.0
sensor_numeric_only,default_300_auto,137,split_substation_based,validation,0.975,0.5224768062912106,249,196,53,0.527820562187139,0.3358038562052928,0.0,0.0,0.0,0.0
sensor_numeric_only,default_300_auto,137,split_substation_based,validation,0.99,0.5410153664161008,249,196,53,0.527820562187139,0.3358038562052928,0.0,0.0,0.0,0.0
sensor_numeric_only,default_300_auto,137,split_substation_based,holdout,0.95,0.5083126286848996,256,191,65,0.5417639951671366,0.34251118043947026,0.4666666666666667,0.1076923076923077,0.175,0.041884816753926704
sensor_numeric_only,default_300_auto,137,split_substation_based,holdout,0.975,0.5224768062912106,256,191,65,0.5417639951671366,0.34251118043947026,0.5,0.1076923076923077,0.17721518987341772,0.03664921465968586
sensor_numeric_only,default_300_auto,137,split_substation_based,holdout,0.99,0.5410153664161008,256,191,65,0.5417639951671366,0.34251118043947026,0.5,0.09230769230769231,0.15584415584415584,0.031413612565445025
sensor_numeric_only,trees_600,137,split_time_based,train,0.95,0.5185654804952846,1770,1263,507,0.6048230552158927,0.41784923122175943,0.47540983606557374,0.11439842209072978,0.18441971383147854,0.050673000791765635
sensor_numeric_only,trees_600,137,split_time_based,train,0.975,0.5283811442820642,1770,1263,507,0.6048230552158927,0.41784923122175943,0.6,0.09467455621301775,0.1635434412265758,0.025336500395882817
sensor_numeric_only,trees_600,137,split_time_based,train,0.99,0.5501840053732941,1770,1263,507,0.6048230552158927,0.41784923122175943,0.6388888888888888,0.045364891518737675,0.0847145488029466,0.010292953285827395
sensor_numeric_only,trees_600,137,split_time_based,validation,0.95,0.5185654804952846,362,243,119,0.5463222325967425,0.3602891914263855,0.0,0.0,0.0,0.0
sensor_numeric_only,trees_600,137,split_time_based,validation,0.975,0.5283811442820642,362,243,119,0.5463222325967425,0.3602891914263855,0.0,0.0,0.0,0.0
sensor_numeric_only,trees_600,137,split_time_based,validation,0.99,0.5501840053732941,362,243,119,0.5463222325967425,0.3602891914263855,0.0,0.0,0.0,0.0
sensor_numeric_only,trees_600,137,split_time_based,holdout,0.95,0.5185654804952846,394,261,133,0.7140840607265289,0.6526050494688274,1.0,0.16541353383458646,0.2838709677419355,0.0
sensor_numeric_only,trees_600,137,split_time_based,holdout,0.975,0.5283811442820642,394,261,133,0.7140840607265289,0.6526050494688274,1.0,0.14285714285714285,0.25,0.0
sensor_numeric_only,trees_600,137,split_time_based,holdout,0.99,0.5501840053732941,394,261,133,0.7140840607265289,0.6526050494688274,1.0,0.13533834586466165,0.23841059602649006,0.0
sensor_numeric_only,trees_600,137,split_substation_based,train,0.95,0.5185654804952846,2021,1380,641,0.6339901422143843,0.4828710102696424,0.5648854961832062,0.11544461778471139,0.19170984455958548,0.041304347826086954
sensor_numeric_only,trees_600,137,split_substation_based,train,0.975,0.5283811442820642,2021,1380,641,0.6339901422143843,0.4828710102696424,0.7045454545454546,0.0967238689547582,0.1700960219478738,0.01884057971014493
sensor_numeric_only,trees_600,137,split_substation_based,train,0.99,0.5501840053732941,2021,1380,641,0.6339901422143843,0.4828710102696424,0.8444444444444444,0.059282371294851796,0.11078717201166181,0.005072463768115942
sensor_numeric_only,trees_600,137,split_substation_based,validation,0.95,0.5185654804952846,249,196,53,0.518001540238737,0.2973679073878629,0.0,0.0,0.0,0.0
sensor_numeric_only,trees_600,137,split_substation_based,validation,0.975,0.5283811442820642,249,196,53,0.518001540238737,0.2973679073878629,0.0,0.0,0.0,0.0
sensor_numeric_only,trees_600,137,split_substation_based,validation,0.99,0.5501840053732941,249,196,53,0.518001540238737,0.2973679073878629,0.0,0.0,0.0,0.0
sensor_numeric_only,trees_600,137,split_substation_based,holdout,0.95,0.5185654804952846,256,191,65,0.5452275473217882,0.3442949070242366,0.46153846153846156,0.09230769230769231,0.15384615384615385,0.03664921465968586
sensor_numeric_only,trees_600,137,split_substation_based,holdout,0.975,0.5283811442820642,256,191,65,0.5452275473217882,0.3442949070242366,0.45454545454545453,0.07692307692307693,0.13157894736842105,0.031413612565445025
sensor_numeric_only,trees_600,137,split_substation_based,holdout,0.99,0.5501840053732941,256,191,65,0.5452275473217882,0.3442949070242366,0.3333333333333333,0.046153846153846156,0.08108108108108109,0.031413612565445025
sensor_numeric_only,max_samples_256,137,split_time_based,train,0.95,0.5141181597825881,1770,1263,507,0.6082415463011114,0.4191507733606447,0.49606299212598426,0.1242603550295858,0.19873817034700317,0.050673000791765635
sensor_numeric_only,max_samples_256,137,split_time_based,train,0.975,0.5249883704634889,1770,1263,507,0.6082415463011114,0.4191507733606447,0.6097560975609756,0.09861932938856016,0.1697792869269949,0.025336500395882817
