safe_feature,original_feature,split_strategy,sampling_strategy,selected_model_key,importance
f_0058,network_temperature_gap__last,split_time_based,severity_weighted,expanded_lgbm_02,51
f_0059,network_temperature_gap__max_abs,split_time_based,severity_weighted,expanded_lgbm_02,45
f_0060,network_temperature_gap__mean,split_time_based,severity_weighted,expanded_lgbm_02,83
f_0061,outdoor_temperature__delta,split_time_based,severity_weighted,expanded_lgbm_02,35
f_0062,outdoor_temperature__first,split_time_based,severity_weighted,expanded_lgbm_02,23
f_0063,outdoor_temperature__last,split_time_based,severity_weighted,expanded_lgbm_02,24
f_0064,outdoor_temperature__max,split_time_based,severity_weighted,expanded_lgbm_02,31
f_0065,outdoor_temperature__mean,split_time_based,severity_weighted,expanded_lgbm_02,15
f_0066,outdoor_temperature__min,split_time_based,severity_weighted,expanded_lgbm_02,44
f_0067,outdoor_temperature__std,split_time_based,severity_weighted,expanded_lgbm_02,36
f_0068,p_hc1_return_temperature__delta,split_time_based,severity_weighted,expanded_lgbm_02,78
f_0069,p_hc1_return_temperature__first,split_time_based,severity_weighted,expanded_lgbm_02,21
f_0070,p_hc1_return_temperature__last,split_time_based,severity_weighted,expanded_lgbm_02,23
f_0071,p_hc1_return_temperature__max,split_time_based,severity_weighted,expanded_lgbm_02,13
f_0072,p_hc1_return_temperature__mean,split_time_based,severity_weighted,expanded_lgbm_02,22
