scope,date_filter,min_substations_per_date,score,description,top_n_substations_per_day,ranking_dates,average_substations_per_date,max_substations_per_date,total_station_days,total_pre_fault_station_days,normal_station_days,total_fault_events,selected_station_days,pre_fault_station_day_hits,precision_at_n,station_day_recall_at_n,event_recall_at_n,dates_with_pre_fault,prefault_date_hits,prefault_date_hit_rate,urgent_station_day_hits,urgent_station_day_recall_at_n,normal_false_station_days,normal_false_station_day_rate,distinct_substations_selected,median_pre_fault_rank
holdout,all_dates,1,raw_ae_score_ratio_q999_max,raw point AE max score ratio to q999,1,78,1.3717948717948718,4,107,30,77,10,78,21,0.2692307692307692,0.7,0.9,22,21,0.9545454545454546,14,0.7777777777777778,57,0.7402597402597403,20,1.0
holdout,all_dates,1,raw_ae_score_ratio_q999_max,raw point AE max score ratio to q999,3,78,1.3717948717948718,4,107,30,77,10,106,30,0.2830188679245283,1.0,1.0,22,22,1.0,18,1.0,76,0.987012987012987,23,1.0
holdout,rankable_2plus,2,priority_score,final rule-based priority score,1,21,2.380952380952381,4,50,17,33,5,21,9,0.42857142857142855,0.5294117647058824,0.8,9,9,1.0,7,0.7,12,0.36363636363636365,7,1.0
holdout,rankable_2plus,2,priority_score,final rule-based priority score,3,21,2.380952380952381,4,50,17,33,5,49,17,0.3469387755102041,1.0,1.0,9,9,1.0,10,1.0,32,0.9696969696969697,12,1.0
holdout,rankable_2plus,2,risk_score,risk probability plus temporal smoothing,1,21,2.380952380952381,4,50,17,33,5,21,9,0.42857142857142855,0.5294117647058824,0.8,9,9,1.0,6,0.6,12,0.36363636363636365,7,1.0
holdout,rankable_2plus,2,risk_score,risk probability plus temporal smoothing,3,21,2.380952380952381,4,50,17,33,5,49,17,0.3469387755102041,1.0,1.0,9,9,1.0,10,1.0,32,0.9696969696969697,12,1.0
holdout,rankable_2plus,2,anomaly_ensemble_score,Mahalanobis + IsolationForest anomaly ensemble,1,21,2.380952380952381,4,50,17,33,5,21,9,0.42857142857142855,0.5294117647058824,0.8,9,9,1.0,7,0.7,12,0.36363636363636365,9,1.0
holdout,rankable_2plus,2,anomaly_ensemble_score,Mahalanobis + IsolationForest anomaly ensemble,3,21,2.380952380952381,4,50,17,33,5,49,17,0.3469387755102041,1.0,1.0,9,9,1.0,10,1.0,32,0.9696969696969697,12,1.0
holdout,rankable_2plus,2,mw_anomaly_context_score,1h/3h/6h/12h multi-window anomaly context score,1,21,2.380952380952381,4,50,17,33,5,21,9,0.42857142857142855,0.5294117647058824,0.8,9,9,1.0,7,0.7,12,0.36363636363636365,7,1.0
holdout,rankable_2plus,2,mw_anomaly_context_score,1h/3h/6h/12h multi-window anomaly context score,3,21,2.380952380952381,4,50,17,33,5,49,17,0.3469387755102041,1.0,1.0,9,9,1.0,10,1.0,32,0.9696969696969697,12,1.0
holdout,rankable_2plus,2,multi_horizon_persistence_score,24h/3d/7d persistence score,1,21,2.380952380952381,4,50,17,33,5,21,9,0.42857142857142855,0.5294117647058824,0.8,9,9,1.0,7,0.7,12,0.36363636363636365,9,1.0
holdout,rankable_2plus,2,multi_horizon_persistence_score,24h/3d/7d persistence score,3,21,2.380952380952381,4,50,17,33,5,49,16,0.32653061224489793,0.9411764705882353,1.0,9,9,1.0,10,1.0,33,1.0,12,1.0
holdout,rankable_2plus,2,raw_ae_score_ratio_q999_max,raw point AE max score ratio to q999,1,21,2.380952380952381,4,50,17,33,5,21,8,0.38095238095238093,0.47058823529411764,0.8,9,8,0.8888888888888888,6,0.6,13,0.3939393939393939,8,2.0
