variant,threshold,rows,positives,predicted_positive,predicted_positive_rate,precision,recall,f1,false_positive_rate,false_positive_count,true_positive_count
risk_gated_urgency_x8,23.5,300,86,141,0.47,0.524822695035461,0.8604651162790697,0.6519823788546255,0.3130841121495327,67,74
risk_gated_urgency_x8,24.0,300,86,134,0.44666666666666666,0.5522388059701493,0.8604651162790697,0.6727272727272727,0.2803738317757009,60,74
risk_gated_urgency_x8,24.5,300,86,128,0.4266666666666667,0.5703125,0.8488372093023255,0.6822429906542056,0.2570093457943925,55,73
risk_gated_urgency_x8,25.0,300,86,119,0.39666666666666667,0.5966386554621849,0.8255813953488372,0.6926829268292682,0.22429906542056074,48,71
risk_gated_urgency_x8,25.5,300,86,112,0.37333333333333335,0.6339285714285714,0.8255813953488372,0.7171717171717171,0.19158878504672897,41,71
risk_gated_urgency_x8,26.0,300,86,109,0.36333333333333334,0.6513761467889908,0.8255813953488372,0.7282051282051282,0.17757009345794392,38,71
risk_gated_urgency_x8,26.5,300,86,107,0.3566666666666667,0.6635514018691588,0.8255813953488372,0.7357512953367875,0.16822429906542055,36,71
risk_gated_urgency_x8,27.0,300,86,105,0.35,0.6761904761904762,0.8255813953488372,0.743455497382199,0.1588785046728972,34,71
risk_gated_urgency_x8,27.5,300,86,104,0.3466666666666667,0.6730769230769231,0.813953488372093,0.7368421052631579,0.1588785046728972,34,70
risk_gated_urgency_x8,28.0,300,86,100,0.3333333333333333,0.66,0.7674418604651163,0.7096774193548387,0.1588785046728972,34,66
risk_gated_urgency_x8,28.5,300,86,100,0.3333333333333333,0.66,0.7674418604651163,0.7096774193548387,0.1588785046728972,34,66
risk_gated_urgency_x8,29.0,300,86,100,0.3333333333333333,0.66,0.7674418604651163,0.7096774193548387,0.1588785046728972,34,66
risk_gated_urgency_x8,29.5,300,86,99,0.33,0.6666666666666666,0.7674418604651163,0.7135135135135136,0.1542056074766355,33,66
risk_gated_urgency_x8,30.0,300,86,99,0.33,0.6666666666666666,0.7674418604651163,0.7135135135135136,0.1542056074766355,33,66
risk_gated_urgency_x8,30.5,300,86,96,0.32,0.6666666666666666,0.7441860465116279,0.7032967032967034,0.14953271028037382,32,64
risk_gated_urgency_x8,31.0,300,86,96,0.32,0.6666666666666666,0.7441860465116279,0.7032967032967034,0.14953271028037382,32,64
risk_gated_urgency_x8,31.5,300,86,94,0.31333333333333335,0.6702127659574468,0.7325581395348837,0.7,0.14485981308411214,31,63
